Station Name,Latitude,Longitude,Number of Bikes
Walnut St at 26th St,39.759344,-104.986164,0
Welton St at 15th St,39.74373,-104.99226,4
12th St at Auraria Pkwy,39.748321,-105.0043619,1
18th St at Wazee St,39.75296271,-104.9974017,0
Tremont Pl at Park Ave W,39.7501737,-104.9804304,2
18th St at Arapahoe St,39.7496545,-104.9930748,0
35th St at Larimer St,39.7668946,-104.9743533,0
E 12th Ave at Grant St,39.7353179,-104.9832527,0
19th St at Wynkoop St,39.75459034,-104.9971026,4
16th St at Platte St,39.7572151,-105.0077941,5
31st St at California St,39.7592646,-104.9742307,0
W 12 Ave at Broadway,39.7353177,-104.9878646,0
Erie St at Tejon St,39.760678,-105.0110208,0
Brighton Blvd at 29th St,39.7643291,-104.9867745,0
Central St at Kensing Ct,39.7589105,-105.0086523,7
25th St at Lawrence St,39.7569027,-104.9854662,5
W 29th Ave at Zuni St,39.758575,-105.015749,1
21st St at Lawrence St,39.753335,-104.990856,1
18th St at Champa St,39.74864489,-104.991756,0
Wazee Street & 15th Street,39.7499163,-105.0016052,8
Broadway at Walnut St,39.7581242,-104.9872752,5
21st St at Tremont Pl,39.7479403,-104.9837465,0
Humboldt St at E Colfax Ave,39.7398565,-104.9696043,0
Larimer St at 16th St,39.7494994,-104.9971826,0
Wewatta St at 17th St,39.754198,-105.001257,4
Blake St at Park Ave W,39.757175,-104.990517,6
25th St at Larimer St,39.757547,-104.986402,1
Grant St at E 11th Ave,39.733998,-104.9836776,0
Court Pl at 15th St,39.7414257,-104.9900552,0
Brighton Blvd at 33rd St,39.7683802,-104.98115,1
27th St at Welton St,39.754741,-104.97793,0
Lawrence St at 18th St,39.7504992,-104.9939508,0
W 29th Ave at Inca St,39.7584767,-104.9982378,3
Blake St at 29th St,39.762586,-104.9835284,4
E 10th Ave at Grant St,39.7320882,-104.9833903,0
W 14th Ave at Fox St,39.7384434,-104.9956133,0
Wynkoop St at 15th St,39.7508683,-105.0023092,4
18th St at Wynkoop St,39.7537028,-104.9983586,0
Delgany St at 15th St,39.7526474,-105.0035237,5
21st St at Welton St,39.7491124,-104.98513,2
19th St at Larimer St,39.75194111,-104.9936239,0
Champa St at 17th St,39.747395,-104.992955,0
11th at Broadway,39.7339564,-104.987657,0
Wynkoop St at 16th St,39.7520686,-105.0007928,6
26th St at Welton St,39.7539262,-104.9794034,0
Pennsylvania St at E 19th St,39.746396,-104.981148,0
Larimer St at 27th St,39.759395,-104.984393,0
Glenarm Pl at 14th St,39.7418668,-104.9929222,0
Stout St at 22nd St,39.7512447,-104.9860453,0
29th St at Larimer St,39.7613886,-104.9817286,0
Blake St at 22nd,39.75642,-104.99201,0
Vallejo St at W 29th Ave,39.7582758,-105.0131165,0
Lawrence St at 33rd St,39.7645408,-104.9759737,0
W 12th Ave at Cherokee St,39.7353033,-104.9914745,1
15th St at Curtis St,39.7465564,-104.9958241,7
Boulder Street & 16th Street,39.7594322,-105.0104252,0
W 30th Ave at Zuni St,39.7596819,-105.0156723,0
Welton St at 17th St,39.7455193,-104.9899082,3
N Marion St at Colfax Ave,39.7401668,-104.972203,0
E 11th Ave at Logan St,39.7337557,-104.9821118,0
Grant St at E 19th Ave,39.74641,-104.98367,4
Wynkoop St at 17th St,39.752701,-104.999787,0
Lawrence St at 17th St ,39.7496126,-104.995105,1
32nd St at Larimer St,39.7641559,-104.9779038,0
Larimer St at 31st St,39.7631337,-104.9795555,0
E Asbury Ave at S University Blvd,39.680309,-104.9591093,0
